,area P1,perc_p1,area N1,perc_n1,area N2,perc_n2,area P3,perc_p3
174,0.000541251897984387,0.148,-0.0016506139463220463,0.104,-0.0008571798738654956,0.256,0.047988443087572184,0.3
175,0.0,0.056,-0.02844039509777477,0.104,-0.0384413400341802,0.232,0.02821485221946606,0.684
176,0.0322380535462767,0.092,0.0,0.104,-0.022871943123668127,0.276,0.008200714861143385,0.568
177,0.03214692171721817,0.08,0.0,0.104,-0.02379241660875305,0.256,0.0216545888838377,0.716
178,0.024553051650342467,0.096,0.0,0.104,-0.010195427650658562,0.256,0.029080657286472907,0.548
179,0.0,0.056,-0.01699976896439924,0.104,-0.010515241460399654,0.268,0.00043866688251650084,0.632
180,0.006597238377594409,0.056,-0.01188992592535249,0.112,-0.0071385421884312345,0.256,0.0021345381214211215,0.408
181,0.007450104268642689,0.056,-0.012400614887408058,0.124,-0.03864977334723181,0.264,0.03806319856844672,0.644
182,0.006660821961836238,0.144,-0.0018311822486903459,0.108,-0.02201010678843755,0.252,0.007531025835102399,0.388
183,0.004098190706542592,0.056,-0.00640613104164783,0.112,-0.026865482257858887,0.264,0.029087872531746203,0.544
