,,Category,0
37,1,1,-0.030635651379746328
37,2,1,-0.03416572479487899
37,3,1,0.2474147884391094
38,0,1,0.5574473167559524
38,1,1,-0.6288741681051887
38,2,1,-0.1425584549116771
38,3,1,-0.04397368100093093
39,0,1,0.4875189993764685
39,1,1,-0.38266210095799746
39,2,1,0.09726102811173339
39,3,1,-0.2201652820801564
40,0,1,0.41209344069469006
40,1,1,-0.2411137314003294
40,2,1,-0.04977777061622156
40,3,1,-0.15350213728962214
41,0,1,0.560875292827813
41,1,1,-0.021932152095363238
41,2,1,-0.12232152262940799
41,3,1,0.4898432420825918
42,0,1,1.332125503416426
42,1,1,0.5489465096316982
42,2,1,-0.30130268021682904
42,3,1,-0.06444622894748496
43,0,1,0.5343184537539732
43,1,1,-0.12252567378540981
43,2,1,0.12184903286407026
43,3,1,-0.15949932084945315
44,0,1,0.407292839247165
44,1,1,0.10522905994849972
44,2,1,-0.1088328698205295
44,3,1,-0.050589338411494066
45,0,1,0.47594744295976366
45,1,1,-0.10719704437805097
45,2,1,0.11784233043956262
45,3,1,0.11861760411019774
46,0,1,0.42759429660715703
46,1,1,-0.6224257791854584
46,2,1,0.1521080635826827
46,3,1,0.0010914933926962078
47,0,1,0.6787244808743272
47,1,1,-0.12083137598321386
47,2,1,0.1299000874976277
47,3,1,0.12431600313266636
48,0,1,0.5610862013963097
48,1,1,-0.20039666751895882
48,2,1,0.09439579978184232
48,3,1,0.12272809114786681
49,0,1,0.13325963110268865
49,1,1,-0.10134125452095616
49,2,1,-0.07269087797163222
49,3,1,0.011432116517795679
50,0,1,0.5327075501373113
50,1,1,0.05612279273067602
50,2,1,0.2913786628034247
50,3,1,0.1416650959736069
51,0,1,0.30088867498148447
51,1,1,-0.5919805435197919
51,2,1,-0.01725036352573598
51,3,1,-0.02012742522144277
52,0,1,0.027659296895755192
52,1,1,-0.21554188323547227
52,2,1,0.07501405479221317
52,3,1,-0.23099704024720263
53,0,1,0.44383921352505906
53,1,1,0.004613808218580609
53,2,1,-0.08809450618870901
53,3,1,-0.06662489333784972
54,0,1,0.286138984086745
54,1,1,-0.4103555743556815
54,2,1,0.3762179904293302
54,3,1,-0.2984339967634432
55,0,1,0.32660620836018955
55,1,1,0.1767452018389567
55,2,1,-0.05038422961967669
55,3,1,-0.0446869740293452
56,0,1,0.5983767699896139
56,1,1,-0.16311267352356676
56,2,1,0.06985093242423598
56,3,1,0.033626188371567965
57,0,1,0.4969458273666254
57,1,1,0.1983883653835907
57,2,1,-0.17867382628678788
57,3,1,-0.298744147173499
58,0,1,0.49981002918255446
58,1,1,0.5038435781262971
58,2,1,0.04150575938166669
58,3,1,0.01921048911572493
59,0,1,0.49308291087297257
59,1,1,-0.6520979935771937
59,2,1,0.0075885796465346225
59,3,1,0.10494548638669966
60,0,1,0.9770804411392797
60,1,1,0.10819551586360485
60,2,1,-0.23976451115395495
60,3,1,-0.04015581287283831
